LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,LIC_NO,INC_CRC,FMEL_UPD_D,latitude,longitude
HAO MART PTE. LTD.,69,BEDOK SOUTH AVENUE 3,484,460069,SE17500A000,4F5E8E47A4AFCD1D,2.01711E+13,1.319350273,103.9436324
PRIME SUPERMARKET (1996) PTE LTD,159A,HOUGANG STREET 11,1,531159,NE11529V000,1D6427DE409FCC21,2.01711E+13,1.352090599,103.8793146
PRIME SUPERMARKET LIMITED,263,COMPASSVALE STREET,1,540263,S02151E000,16D3D8D8781C3AA1,2.01711E+13,1.394848156,103.8960423
COLD STORAGE SINGAPORE (1983) PTE LTD,883,WOODLANDS STREET 82,498,730883,B02037X000,65D584E6DDA523B4,2.01711E+13,1.442753322,103.790548
COLD STORAGE SINGAPORE (1983) PTE LTD,161,ANG MO KIO AVENUE 4,504,560161,B02032E000,1A2E9C2F8BA35161,2.01711E+13,1.374239507,103.8394892
COLD STORAGE SINGAPORE (1983) PTE LTD,2,JALAN LOKAM,37,537846,SE16595E000,F55DE3E2B0C981EB,2.01711E+13,1.345607714,103.8826959
D-RON INVESTMENTS PTE. LTD.,2,SELETAR NORTH LINK,38,797601,CE15042P000,99B1CAC4470C0901,2.01711E+13,1.416907801,103.8960188
AJMAL SUPER MART PTE. LTD.,70,TUAS SOUTH AVENUE 1,40,637285,SW14718K000,7AE8237F6DEE15C5,2.01711E+13,1.31396452,103.6257647
COLD STORAGE SINGAPORE (1983) PTE LTD,1,CLAYMORE DRIVE,41,229594,W02079B000,C020C5160253E34C,2.01711E+13,1.307562373,103.8293522
SONG FISH DEALER PTE LTD,50,JURONG GATEWAY ROAD,43,608549,SW17592A000,469AAB3D59153DDD,2.01711E+13,1.333200217,103.7431704
COLD STORAGE SINGAPORE (1983) PTE LTD,36A,DUNEARN ROAD,44,309426,W02064P000,C32AAAC86C761735,2.01711E+13,1.316177425,103.837815
COLD STORAGE SINGAPORE (1983) PTE LTD,2,BAYFRONT AVENUE,46,18972,CE10K82J000,80E8DB7463423070,2.01711E+13,1.283558725,103.8585057
NG LIAN TEE,7,GREENDALE AVENUE,,289504,CE09902A000,7991DC603EB83F20,2.01711E+13,1.331664776,103.8070338
TAN PAK NANG,387,UPPER ALJUNIED ROAD,,367872,SE06465L000,CB2A311170E71520,2.01711E+13,1.33312324,103.8788419
HAO MART PTE. LTD.,32,LORONG 11 GEYLANG,,388724,CE11B47P000,D113286CD6E8F21B,2.01711E+13,1.313469039,103.8770048
PRB TRADING PTE. LTD.,230,GEYLANG ROAD,,389290,CE10085L000,47B5BCB1D7C168C0,2.01711E+13,1.312088771,103.8773893
SHENG SIONG SUPERMARKET PTE LTD,301,GEYLANG ROAD,,389344,CE12546B000,868F8528944D1318,2.01711E+13,1.312720553,103.8786415
I-TEC SUPERMART PTE LTD,498/500,GEYLANG ROAD,,389456,SE11136C000,D5C385FAFF980C92,2.01711E+13,1.313288615,103.8851532
YEO HOCK HENG,5,ALJUNIED ROAD,,389797,CE09744N000,687629A701062EF9,2.01711E+13,1.313576054,103.8818778
AZ SUPERMART PTE. LTD.,21,KAKI BUKIT AVENUE 3,,415920,NE04109P000,C4A6B8EB14A3DC3E,2.01711E+13,1.338096739,103.9099467
FOODIE MARKET PLACE PTE. LTD.,313,TANJONG KATONG ROAD,,437096,SE15043B000,975B484B749941AD,2.01711E+13,1.306086368,103.8961496
ZAC MEAT & POULTRY PTE LTD,1B,FIGARO STREET,,458322,SE14C27C000,43ECB768EBA21B32,2.01711E+13,1.315749333,103.925857
